announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,2025-06-05,SAGAR INFRA RAIL INTERNATIONAL LIMITED,U23203TG2000PLC033782,Mr. Kambhammettu Sri Vamsi,2025-05-23,10615000.0,2025-05-20,-49
Issue of Auction Notice,2025-06-05,Protocol Marine Services Private Limited,U63090MH2001PTC133857,Mr.Harish Kant Kaushik,2025-06-06,108000000.0,2025-06-04,-34
Issue of Auction Notice,2025-06-05,GOODDAY VENTURES INDIA PVT LTD,U29190MH1992PTC065241,Mr. Prashant Jain,2025-06-07,36000000.0,2025-06-04,-34
Issue of Auction Notice,2025-05-05,Sharma Kalypso Private Limited,U45400DL2009PTC189270,Ms. Reshma Mittal,2025-06-06,11826000.0,2025-06-03,-35
Corrigendum,2025-05-05,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,U27109TG1990PLC012004,Madasa Kumar,2025-05-19,127670000.0,2025-05-16,-53
Corrigendum,2025-05-05,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,U27109TG1990PLC012004,Madasa Kumar,2025-05-19,67606000.0,2025-05-16,-53
Corrigendum,2025-05-05,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,U27109TG1990PLC012004,Madasa Kumar,2025-05-19,74249000.0,2025-05-16,-53
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,105000000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,78000000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,13000000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,10300000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,9100000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,4400000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-27,29700000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-27,5000000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-27,24800000.0,2025-05-23,-46
Issue of Auction Notice,2025-03-05,LARK LOGISTICS PRIVATE LIMITED,U63090DL2006PTC152804,Mr. Vikas Garg,2025-05-26,17000000.0,2025-05-23,-46
Issue of Auction Notice,2025-02-05,Aerens Jai Realty Private Limited,U70101DL2000PTC105289,Mr. Reetesh Kumar Agarwal,2025-05-28,33612978.0,2025-05-26,-43
Issue of Auction Notice,2025-02-05,RNP MARKETING AND CARGO PRIVATE LIMITED,U01100MH2008PTC187995,Mr. Jitender Kothari,2025-05-22,13741650.0,2025-05-20,-49
Issue of Auction Notice,2025-02-05,RNP MARKETING AND CARGO PRIVATE LIMITED,U01100MH2008PTC187995,Mr. Jitender Kothari,2025-05-22,13741650.0,2025-05-20,-49
Issue of Auction Notice,2025-02-05,LAGROWTH ASSOCIATES PRIVATE LIMITED,U51909DL2019PTC354266,soniya gupta,2025-06-05,49400000.0,2025-06-02,-36
Issue of Auction Notice,2025-02-05,ZAVERI CONSTRUCTIONS PRIVATE LIMITED,U45200MH2008PTC183061,Mr. Vikas Prakash Gupta,2025-06-02,24300000.0,2025-05-31,-38
Issue of Auction Notice,2025-02-05,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,U27109TG1990PLC012004,Madasa Kumar,2025-05-17,127670000.0,2025-05-14,-55
Issue of Auction Notice,2025-02-05,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,U27109TG1990PLC012004,Madasa Kumar,2025-05-17,676060000.0,2025-05-02,-67
Issue of Auction Notice,2025-02-05,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,U27109TG1990PLC012004,Madasa Kumar,2025-05-17,74249000.0,2025-05-14,-55
Issue of Auction Notice,2025-02-05,RELIABLE CASHEW COMPANY PRIVATE LIMITED,U51229TN2005PTC058063,Mr. Ravindra Beleyur,2025-05-26,8000000.0,2025-05-23,-46
Issue of Auction Notice,2025-02-05,REACON ENGINEERS (INDIA) PVT LTD,U45201WB1988PTC045417,Mr. Sanjeev Jhunjhunwala,2025-05-22,243700000.0,2025-05-19,-50
Issue of Auction Notice,2025-01-05,DIVYA AGRO CHEM PRIVATE LIMITED,U24219MH2009PTC192776,Palak Swapnil Desai,2025-05-30,9234000.0,2025-05-27,-42
Issue of Auction Notice,2025-01-05,SPACEVISION IMPEX PRIVATE LIMITED,U23209DL2004PTC125911,Mr. Rakesh Prasad Khandelwal,2025-05-20,6885000.0,2025-05-17,-52
Corrigendum,2025-01-05,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,52239641.0,2025-05-16,-53
Issue of Auction Notice,2025-01-05,Ashapura Garments Limited,U13101GJ1994PLC067515,Mohit Bipinchandra Adatiya,2025-05-19,629000.0,2025-05-15,-54
Issue of Auction Notice,2025-01-05,BUTTA INFRASTRUCTURE PRIVATE LIMITED,U45309TG2017PTC114221,Mr. Gonugunta Murali,2025-06-02,780000000.0,2025-05-31,-38
Issue of Auction Notice,2025-01-05,BUTTA INFRASTRUCTURE PRIVATE LIMITED,U45309TG2017PTC114221,Mr. Gonugunta Murali,2025-06-02,22000000.0,2025-05-31,-38
Issue of Auction Notice,,Parekh Aluminex Limited,L27203MH1994PLC080732,Mr. Avil Jerome Menezes,2025-05-26,3500000.0,2025-05-23,-46
Issue of Auction Notice,,DIVYA AGRO CHEM PRIVATE LIMITED,U24219MH2009PTC192776,Palak Swapnil Desai,2025-05-30,9234000.0,2025-05-27,-42
Issue of Auction Notice,,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2025-05-21,2276100000.0,2025-05-19,-50
Issue of Auction Notice,,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2025-05-21,94500000.0,2025-05-19,-50
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,52239641.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,20125.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,12750.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,12750.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,17825.0,2025-05-16,-53
Issue of Auction Notice,,Asten Realtors Private Limited,U45200KL2011PTC028812,Sreenivasan P R,2025-05-19,28250.0,2025-05-16,-53
